INCIDENT_ADDRESS,BOROUGH,COMMUNITY_BOARD,POLICE_PRECINCT,CITY_COUNCIL_DISTRICT,BBL,CREATED_DATE,STATUS,RESOLUTION_ACTION,CLOSED_DATE,X_COORDINATE,Y_COORDINATE,LATITUDE,LONGITUDE,ZIP_CODE,CENSUS_TRACT,BIN,NTA,LOCATION
1657 MADISON AVENUE,MANHATTAN,11 MANHATTAN,Precinct 23,8,1016160020,2/2/2018,Open,Site downloaded for cleaning,,998805,229442,40.79643,-73.947432,10029,17402,1051612,East Harlem South,"(40.79643, -73.947432)"
4819 CHURCH AVENUE,BROOKLYN,17 BROOKLYN,Precinct 67,41,3046740037,2/2/2018,Open,Site downloaded for cleaning,,1003101,176703,40.651666,-73.932064,11203,870,3102052,East Flatbush-Farragut,"(40.651666, -73.932064)"
5918 NEW UTRECHT AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,44,,1/30/2018,Open,Property Research Required,,985247,168155,40.628223,-73.996408,11219,192,,Borough Park,"(40.628223, -73.996408)"
76 CHRISTOPHER STREET,MANHATTAN,02 MANHATTAN,Precinct 6,3,1005910051,1/29/2018,Open,Site to be cleaned.,,983285,206515,40.733513,-74.003482,10014,73,1010199,West Village,"(40.733513, -74.003482)"
29 QUENTIN ROAD,BROOKLYN,11 BROOKLYN,Precinct 62,44,3066190049,1/27/2018,Open,Site to be cleaned.,,988262,159786,40.605251,-73.985551,11223,404,3175286,Bensonhurst East,"(40.605251, -73.985551)"
175 TOMPKINS AVENUE,BROOKLYN,03 BROOKLYN,Precinct 79,36,3017720007,1/26/2018,Open,Site to be cleaned.,,999260,191855,40.693262,-73.945873,11206,261,3049352,Bedford,"(40.693262, -73.945873)"
217 CANAL STREET,MANHATTAN,02 MANHATTAN,Precinct 5,1,1002060031,1/25/2018,Open,Site downloaded for cleaning,,984490,200663,40.717451,-73.999134,10013,41,1002661,SoHo-TriBeCa-Civic Center-Little Italy,"(40.717451, -73.999134)"
1780 FLATBUSH AVENUE,BROOKLYN,18 BROOKLYN,Precinct 63,45,3076170056,1/24/2018,Open,Site to be cleaned.,,1000594,167582,40.626636,-73.941121,11210,740,3208208,Flatlands,"(40.626636, -73.941121)"
1101 AVENUE R,BROOKLYN,15 BROOKLYN,Precinct 61,48,3067940053,1/23/2018,Open,Site downloaded for cleaning,,994917,159836,40.605383,-73.961584,11223,554,3182842,Homecrest,"(40.605383, -73.961584)"
220 MARINE AVENUE,BROOKLYN,10 BROOKLYN,Precinct 68,43,3061290063,1/23/2018,Open,Site to be cleaned.,,974585,163420,40.615222,-74.034812,11209,5601,3155940,Bay Ridge,"(40.615222, -74.034812)"
138-16 FARMERS BOULEVARD,QUEENS,12 QUEENS,Precinct 113,31,4125820031,1/23/2018,Open,Site downloaded for cleaning,,1049630,184202,40.672028,-73.764309,11434,33402,4270913,Springfield Gardens North,"(40.672028, -73.764309)"
68 HUNTINGTON STREET,BROOKLYN,06 BROOKLYN,Precinct 76,38,3005350019,1/23/2018,Open,Site to be cleaned.,,983231,185972,40.677127,-74.003674,11231,59,3008448,Carroll Gardens-Columbia Street-Red Hook,"(40.677127, -74.003674)"
29-19 ASTORIA BOULEVARD,QUEENS,01 QUEENS,Precinct 114,22,4008380016,1/22/2018,Open,Site downloaded for cleaning,,1006589,219968,40.77041,-73.91935,11102,69,4017394,Old Astoria,"(40.77041, -73.91935)"
135 WEST TREMONT AVENUE,BRONX,05 BRONX,Precinct 46,14,2028690001,1/18/2018,Open,Site downloaded for cleaning,,1008052,248967,40.85,-73.913966,10453,243,2008582,University Heights-Morris Heights,"(40.85, -73.913966)"
468 9 STREET,BROOKLYN,06 BROOKLYN,Precinct 78,39,3010920013,1/17/2018,Open,Mail returned / wrong address,,989604,182083,40.666451,-73.980701,11215,151,3025993,Park Slope-Gowanus,"(40.666451, -73.980701)"
158 9 STREET,BROOKLYN,06 BROOKLYN,Precinct 78,39,3010080021,1/17/2018,Open,Site downloaded for cleaning,,986405,184118,40.672038,-73.992231,11215,121,3022211,Park Slope-Gowanus,"(40.672038, -73.992231)"
46 DELANCY STREET,MANHATTAN,03 MANHATTAN,Precinct 5,1,1004200074,1/14/2018,Open,Site downloaded for cleaning,,986569,201446,40.719599,-73.991634,10002,18,1005604,Chinatown,"(40.719599, -73.991634)"
3902 4 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3007080037,1/12/2018,Open,Site downloaded for cleaning,,982511,177015,40.652542,-74.006267,11232,84,3010490,Sunset Park West,"(40.652542, -74.006267)"
675 9 AVENUE,MANHATTAN,04 MANHATTAN,Precinct 18,3,1010560032,1/11/2018,Open,Site downloaded for cleaning,,986879,216660,40.761358,-73.99051,10036,127,1082497,Clinton,"(40.761358, -73.99051)"
243 9 AVENUE,MANHATTAN,04 MANHATTAN,Precinct 10,3,1007220043,1/11/2018,Open,Site downloaded for cleaning,,984099,211640,40.74758,-74.000545,10001,93,1012804,Hudson Yards-Chelsea-Flatiron-Union Square,"(40.74758, -74.000545)"
56 EAST BROADWAY,MANHATTAN,03 MANHATTAN,Precinct 5,1,1002810026,1/9/2018,Open,Site downloaded for cleaning,,985473,199266,40.713616,-73.995588,10002,8,1003501,Chinatown,"(40.713616, -73.995588)"
BRACETTI PLAZA HOUSE,MANHATTAN,03 MANHATTAN,Unspecified,,,1/8/2018,Open,Public Property (Non-City),,,,40.722277,-73.98119,10009,2601,1004617,Lower East Side,"(40.722277, -73.98119)"
85 WEST KINGSBRIDGE ROAD,BRONX,08 BRONX,Precinct 50,14,2032480006,1/8/2018,Open,Site downloaded for cleaning,,1011723,255601,40.868198,-73.900669,10468,26701,2015249,Van Cortlandt Village,"(40.868198, -73.900669)"
313 57 STREET,BROOKLYN,07 BROOKLYN,Precinct 72,38,3008380068,3/14/2018,Open,Graffiti Reported,,979242,173684,40.643398,-74.018046,11220,74,3015307,Sunset Park West,"(40.643398, -74.018046)"
30 BARTLETT STREET,BROOKLYN,01 BROOKLYN,Precinct 90,33,3022720009,3/13/2018,Open,Graffiti Reported,,999004,194639,40.700904,-73.94679,11206,507,3061465,Bedford,"(40.700904, -73.94679)"
1127 NOSTRAND AVENUE,BROOKLYN,09 BROOKLYN,Precinct 71,40,3047960001,3/12/2018,Open,Site to be cleaned.,,997965,179817,40.660223,-73.950567,11225,804,3106630,Prospect Lefferts Gardens-Wingate,"(40.660223, -73.950567)"
327 B   19 STREET,QUEENS,14 QUEENS,Precinct 101,31,4156360001,3/12/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1052909,157445,,,,,,,
88-20 VAN WYCK BOULEVARD,QUEENS,09 QUEENS,Precinct 102,29,4093420033,3/10/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1035071,195137,40.702137,-73.81671,11418,14202,4196421,Richmond Hill,"(40.702137, -73.81671)"
229 BEDFORD AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,34,3023440035,3/9/2018,Open,Site to be cleaned.,,995501,200229,40.716252,-73.959414,11211,553,3062336,North Side-South Side,"(40.716252, -73.959414)"
Adelphi street and flushing ave,BROOKLYN,01 BROOKLYN,Unspecified,,,3/7/2018,Open,Property Research Required,,,,,,,,,,
256 PROSPECT PARK WEST,BROOKLYN,07 BROOKLYN,Precinct 72,39,3011130058,3/2/2018,Open,Site to be cleaned.,,989355,179354,40.658961,-73.9816,11215,169,3027212,Windsor Terrace,"(40.658961, -73.9816)"
1369 DEKALB AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,37,3032340045,2/28/2018,Open,Site to be cleaned.,,1005173,193920,40.698918,-73.924543,11221,423,3422279,Bushwick South,"(40.698918, -73.924543)"
238 MULBERRY STREET,MANHATTAN,02 MANHATTAN,Precinct 5,1,1004940008,2/26/2018,Open,Site downloaded for cleaning,,985384,202619,40.722819,-73.995909,10012,43,1007490,SoHo-TriBeCa-Civic Center-Little Italy,"(40.722819, -73.995909)"
357 BOWERY,MANHATTAN,03 MANHATTAN,Precinct 9,2,1004590007,2/25/2018,Open,Site downloaded for cleaning,,986566,204064,40.726785,-73.991644,10003,38,1006567,East Village,"(40.726785, -73.991644)"
334 BROOME STREET,MANHATTAN,03 MANHATTAN,Precinct 5,1,1004240040,2/25/2018,Open,Site downloaded for cleaning,,985920,201325,40.719267,-73.993975,10002,18,1005672,Chinatown,"(40.719267, -73.993975)"
2424 FLATBUSH AVENUE,BROOKLYN,18 BROOKLYN,Precinct 63,46,3085420046,2/25/2018,Open,Site to be cleaned.,,1005332,161959,40.611192,-73.92407,11234,662,3241968,Georgetown-Marine Park-Bergen Beach-Mill Basin,"(40.611192, -73.92407)"
113-07 ROCKAWAY BEACH BOULEVARD,QUEENS,14 QUEENS,Precinct 100,32,4161860006,2/24/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1030157,150813,40.580504,-73.834735,11694,938,4303890,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,"(40.580504, -73.834735)"
299 EAST  158 STREET,BRONX,01 BRONX,Precinct 40,17,2024180001,2/15/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1007053,239189,40.823165,-73.91761,10451,69,2001887,Melrose South-Mott Haven North,"(40.823165, -73.91761)"
890 NOSTRAND AVENUE,BROOKLYN,09 BROOKLYN,Precinct 71,35,3012820046,2/14/2018,Open,Site downloaded for cleaning,,997921,182515,40.667628,-73.95072,11225,321,3033538,Crown Heights South,"(40.667628, -73.95072)"
961 LINCOLN PLACE,BROOKLYN,08 BROOKLYN,Precinct 77,35,3012570001,2/14/2018,Open,Site downloaded for cleaning,,999698,183555,40.67048,-73.944312,11213,339,3032423,Crown Heights North,"(40.67048, -73.944312)"
520 B   19 STREET,QUEENS,14 QUEENS,Precinct 101,31,4155680001,2/13/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1053048,157955,,,,,,,
102-16 94 AVENUE,QUEENS,09 QUEENS,Precinct 102,28,4093810044,2/13/2018,Open,Public Property (Non-City),,1028013,190447,40.689302,-73.842196,11416,114,4448726,Richmond Hill,"(40.689302, -73.842196)"
227-51 112 ROAD,QUEENS,13 QUEENS,Precinct 105,27,4112270121,2/12/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1059375,196074,,,,,,,
6011 5 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3057830006,2/11/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,979728,172208,40.639347,-74.016294,11220,122,3143468,Sunset Park West,"(40.639347, -74.016294)"
247 EAST   62 STREET,MANHATTAN,08 MANHATTAN,Precinct 19,4,1014170020,2/9/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,994185,217255,40.762986,-73.964136,10065,110,1043840,Lenox Hill-Roosevelt Island,"(40.762986, -73.964136)"
18 ALLEN STREET,MANHATTAN,03 MANHATTAN,Precinct 7,1,1002990035,2/9/2018,Open,Site downloaded for cleaning,,986378,199908,40.715378,-73.992324,10002,16,1003875,Chinatown,"(40.715378, -73.992324)"
122 WEST  125 STREET,MANHATTAN,10 MANHATTAN,Precinct 28,9,1019090044,2/7/2018,Open,Site downloaded for cleaning,,999074,233721,40.808174,-73.946451,10027,222,1057834,Central Harlem South,"(40.808174, -73.946451)"
10 COFFEY STREET,BROOKLYN,06 BROOKLYN,Precinct 76,38,3005890016,2/6/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,981295,184788,40.673877,-74.010653,11231,53,3336656,Carroll Gardens-Columbia Street-Red Hook,"(40.673877, -74.010653)"
1329 WILLOUGHBY AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,34,3032000035,2/5/2018,Open,Site downloaded for cleaning,,1006136,196510,40.706025,-73.921062,11237,447,3072801,Bushwick North,"(40.706025, -73.921062)"
1930 STRANG AVENUE,BRONX,12 BRONX,Precinct 47,12,,2/4/2018,Open,Property Research Required,,1027355,263504,40.889827,-73.8441,10466,426,,Woodlawn-Wakefield,"(40.889827, -73.8441)"
252 AUDOBON AVENUE,MANHATTAN,12 MANHATTAN,Precinct 33,10,1021330076,2/4/2018,Open,Site to be cleaned.,,1002531,247715,40.846577,-73.933925,10033,261,1063238,Washington Heights South,"(40.846577, -73.933925)"
WEST 132 STREET AND 8TH AVENUE,MANHATTAN,Unspecified MANHATTAN,Unspecified,,,2/3/2018,Open,Property Research Required,,,,,,,,,,
2201 CATON AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,40,3050830110,2/2/2018,Open,Site to be cleaned.,,996171,177154,40.652916,-73.957038,11226,79602,3116638,Prospect Lefferts Gardens-Wingate,"(40.652916, -73.957038)"
705 FLATBUSH AVENUE,BROOKLYN,09 BROOKLYN,Precinct 71,40,3050480004,2/2/2018,Open,Site downloaded for cleaning,,995369,178253,40.655933,-73.959926,11225,79601,3115793,Prospect Lefferts Gardens-Wingate,"(40.655933, -73.959926)"
854 UTICA AVENUE,BROOKLYN,17 BROOKLYN,Precinct 67,41,3046750032,2/2/2018,Open,Site downloaded for cleaning,,1003543,176987,40.652444,-73.93047,11203,868,3102086,Rugby-Remsen Village,"(40.652444, -73.93047)"
1541 AVENUE Y,BROOKLYN,15 BROOKLYN,Precinct 61,48,,1/31/2018,Open,Property Research Required,,997004,154293,40.590166,-73.954079,11235,590,,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,"(40.590166, -73.954079)"
106-36 GUY BREWER BOULEVARD,QUEENS,12 QUEENS,Precinct 103,28,4101290025,1/31/2018,Open,Site to be cleaned.,,1041617,194045,40.6991,-73.793111,11433,254,4215809,South Jamaica,"(40.6991, -73.793111)"
25-08 BQE WEST,QUEENS,01 QUEENS,Precinct 114,22,4010180002,1/28/2018,Open,Site to be cleaned.,,1011154,217497,40.763615,-73.902879,11377,297,4022552,Woodside,"(40.763615, -73.902879)"
2924 AVENUE I,BROOKLYN,14 BROOKLYN,Precinct 70,45,3075930049,1/26/2018,Open,Site downloaded for cleaning,,998684,168473,40.629085,-73.948,11210,750,3207034,Midwood,"(40.629085, -73.948)"
4018 GLENWOOD ROAD,BROOKLYN,17 BROOKLYN,Precinct 67,45,3077240042,1/26/2018,Open,Site to be cleaned.,,1001467,170484,40.634599,-73.937969,11210,780,3213307,East Flatbush-Farragut,"(40.634599, -73.937969)"
861 PARK AVENUE,BROOKLYN,03 BROOKLYN,Precinct 81,36,3015790010,1/25/2018,Open,Site downloaded for cleaning,,1000682,193800,40.698598,-73.94074,11206,28501,3042827,Bushwick South,"(40.698598, -73.94074)"
331 TOMPKINS AVENUE,BROOKLYN,03 BROOKLYN,Precinct 79,36,3018150008,1/25/2018,Open,Site downloaded for cleaning,,999630,189416,40.686567,-73.944544,11216,265,3329692,Bedford,"(40.686567, -73.944544)"
14-27 ASTORIA BOULEVARD,QUEENS,01 QUEENS,Precinct 114,22,4005400023,1/22/2018,Open,Site downloaded for cleaning,,1003985,220608,40.772173,-73.92875,11102,83,4006107,Old Astoria,"(40.772173, -73.92875)"
448 BROADWAY,MANHATTAN,02 MANHATTAN,Precinct 5,1,1002320006,1/21/2018,Open,Site downloaded for cleaning,,983969,201741,40.720409,-74.001014,10013,45,1003029,SoHo-TriBeCa-Civic Center-Little Italy,"(40.720409, -74.001014)"
180-31 LINDEN BOULEVARD,QUEENS,12 QUEENS,Precinct 113,27,4103150115,1/20/2018,Open,Site downloaded for cleaning,,1049169,191531,40.692147,-73.7659,11434,424,4220013,St. Albans,"(40.692147, -73.7659)"
50-17 5 STREET,QUEENS,02 QUEENS,Precinct 108,26,4000330021,1/20/2018,Open,Site downloaded for cleaning,,996307,209973,40.742996,-73.956489,11101,7,4436594,Hunters Point-Sunnyside-West Maspeth,"(40.742996, -73.956489)"
35-06 PARSONS BOULEVARD,QUEENS,07 QUEENS,Precinct 109,20,4050020057,1/16/2018,Open,Site downloaded for cleaning,,1033089,218254,40.765599,-73.823691,11354,1161,4113177,Flushing,"(40.765599, -73.823691)"
42-25 QUEENS BOULEVARD,QUEENS,02 QUEENS,Precinct 108,26,4001630037,1/15/2018,Open,Site downloaded for cleaning,,1005833,210187,40.743565,-73.922111,11104,18102,4001952,Hunters Point-Sunnyside-West Maspeth,"(40.743565, -73.922111)"
35-45 URBAN ASSEMBLY MAKER ACADEMY,MANHATTAN,01 MANHATTAN,Precinct 5,1,1001130100,1/11/2018,Open,Public Property (Non-City),,983781,198466,40.71142,-74.001692,10038,29,1001388,Chinatown,"(40.71142, -74.001692)"
1071 BROADWAY,BROOKLYN,04 BROOKLYN,Precinct 83,34,3032290050,1/10/2018,Open,Site downloaded for cleaning,,1003372,192355,40.694626,-73.931043,11221,393,3073446,Bushwick South,"(40.694626, -73.931043)"
2260 UNIVERSITY AVENUE,BRONX,07 BRONX,Precinct 52,14,2032120005,1/8/2018,Open,Site downloaded for cleaning,,1009918,252694,40.860224,-73.907207,10468,253,2014593,Kingsbridge Heights,"(40.860224, -73.907207)"
5423 4 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3008230001,3/14/2018,Open,Site to be cleaned.,,980066,173923,40.644054,-74.015077,11220,76,3014568,Sunset Park West,"(40.644054, -74.015077)"
222-11 BRADDOCK AVENUE,QUEENS,13 QUEENS,Precinct 105,23,4079490005,3/12/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1056953,204929,40.728861,-73.737686,11428,1301,4166386,Bellerose,"(40.728861, -73.737686)"
1023 PACIFIC STREET,BROOKLYN,08 BROOKLYN,Precinct 77,35,3011250025,3/11/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,995375,186779,40.679335,-73.959891,11238,305,3337828,Crown Heights North,"(40.679335, -73.959891)"
92-01 165 STREET,QUEENS,12 QUEENS,Precinct 103,27,4101550001,3/8/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1041166,196285,40.705251,-73.794719,11433,444,4216215,Jamaica,"(40.705251, -73.794719)"
89-52 165 STREET,QUEENS,12 QUEENS,Precinct 103,24,4097940030,3/8/2018,Open,Site to be cleaned.,,1040785,197046,40.707342,-73.796087,11432,44601,4209593,Jamaica,"(40.707342, -73.796087)"
1661 SHEEPSHEAD BAY ROAD,BROOKLYN,15 BROOKLYN,Precinct 61,48,3074620051,3/4/2018,Open,Site to be cleaned.,,997498,152950,40.586479,-73.952303,11235,600,3204995,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,"(40.586479, -73.952303)"
45 EMERSON PLACE,BROOKLYN,02 BROOKLYN,Precinct 88,33,,3/3/2018,Open,Property Research Required,,994604,192936,40.696236,-73.962661,11205,191,,Clinton Hill,"(40.696236, -73.962661)"
418A LWIS AVE,BROOKLYN,01 BROOKLYN,Unspecified,,,3/2/2018,Open,Property Research Required,,,,,,,,,,
97-11 101 STREET,QUEENS,09 QUEENS,Precinct 102,28,4094030001,3/1/2018,Open,Site to be cleaned.,,1027984,189589,40.686947,-73.842306,11416,114,4197643,Richmond Hill,"(40.686947, -73.842306)"
360 TROUTMAN STREET,BROOKLYN,04 BROOKLYN,Precinct 83,34,3031880018,2/20/2018,Open,Site downloaded for cleaning,,1005365,196342,40.705565,-73.923843,11237,447,3326255,Bushwick North,"(40.705565, -73.923843)"
448 GRAND AVENUE,BROOKLYN,02 BROOKLYN,Precinct 88,35,3019810070,2/15/2018,Open,Site downloaded for cleaning,,994852,188174,40.683165,-73.961774,11238,201,3335045,Clinton Hill,"(40.683165, -73.961774)"
6309 AVENUE N,BROOKLYN,18 BROOKLYN,Precinct 63,46,3083630008,2/15/2018,Open,Site downloaded for cleaning,,1007380,165022,40.619594,-73.916683,11234,69602,3235909,Georgetown-Marine Park-Bergen Beach-Mill Basin,"(40.619594, -73.916683)"
NAGLE AND THAYER,MANHATTAN,Unspecified MANHATTAN,Unspecified,,,2/14/2018,Open,Property Research Required,,,,,,,,,,
162 EAST    2 STREET,MANHATTAN,03 MANHATTAN,Precinct 9,2,1003980058,2/12/2018,Open,Site downloaded for cleaning,,988405,202576,40.7227,-73.98501,10009,3002,1077602,East Village,"(40.7227, -73.98501)"
159 7 AVENUE SOUTH,MANHATTAN,02 MANHATTAN,Precinct 6,3,1006120051,2/10/2018,Open,Site downloaded for cleaning,,983803,207299,40.735665,-74.001613,10014,71,1010884,West Village,"(40.735665, -74.001613)"
417 GRAHAM AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,34,3027390026,2/4/2018,Open,Site downloaded for cleaning,,999528,200692,40.717517,-73.944886,11211,497,3338068,East Williamsburg,"(40.717517, -73.944886)"
66 ST PAULS PLACE,BROOKLYN,14 BROOKLYN,Precinct 70,40,3050600032,2/2/2018,Open,Site downloaded for cleaning,,994435,176860,40.652111,-73.963295,11226,50804,3116115,Flatbush,"(40.652111, -73.963295)"
4402 CHURCH AVENUE,BROOKLYN,17 BROOKLYN,Precinct 67,45,3048980004,2/2/2018,Open,Site downloaded for cleaning,,1002004,176630,40.651468,-73.936018,11203,860,3109867,East Flatbush-Farragut,"(40.651468, -73.936018)"
632 KINGS HIGHWAY,BROOKLYN,15 BROOKLYN,Precinct 61,44,3066630032,1/31/2018,Open,Site to be cleaned.,,993601,160018,40.605884,-73.966324,11223,418,3177463,Homecrest,"(40.605884, -73.966324)"
426 WEST   55 STREET,MANHATTAN,04 MANHATTAN,Precinct 18,3,1010640046,1/31/2018,Open,Site to be cleaned.,,987676,218722,40.767017,-73.987632,10019,139,1026800,Clinton,"(40.767017, -73.987632)"
626 BROADWAY,BROOKLYN,01 BROOKLYN,Precinct 90,33,3022670014,1/31/2018,Open,Site downloaded for cleaning,,999232,195417,40.703039,-73.945966,11206,507,3061438,Bedford,"(40.703039, -73.945966)"
3738 3 AVENUE,BRONX,03 BRONX,Precinct 42,16,2029270001,1/31/2018,Open,Site downloaded for cleaning,,1011146,243889,40.836054,-73.902802,10456,169,2090452,Claremont-Bathgate,"(40.836054, -73.902802)"
1764 WESTCHESTER AVENUE,BRONX,09 BRONX,Precinct 43,18,2037620032,1/31/2018,Open,Site downloaded for cleaning,,1020814,242219,40.831435,-73.867873,10472,70,2098972,Soundview-Bruckner,"(40.831435, -73.867873)"
7209 NEW UTRECHT AVENUE,BROOKLYN,11 BROOKLYN,Precinct 62,43,,1/30/2018,Open,Property Research Required,,984408,164278,40.617582,-73.999431,11228,262,,Bensonhurst West,"(40.617582, -73.999431)"
335 DEKALB AVENUE,BROOKLYN,02 BROOKLYN,Precinct 88,35,,1/26/2018,Open,Property Research Required,,993986,190601,40.689827,-73.964893,11205,193,,Clinton Hill,"(40.689827, -73.964893)"
4205 GLENWOOD ROAD,BROOKLYN,17 BROOKLYN,Precinct 67,45,3050170004,1/26/2018,Open,Site downloaded for cleaning,,1001977,170532,40.63473,-73.936131,11210,836,3114506,East Flatbush-Farragut,"(40.63473, -73.936131)"
587 NEW YORK AVENUE,BROOKLYN,09 BROOKLYN,Precinct 71,40,3048020001,1/26/2018,Open,Mail returned / wrong address,,998774,179790,40.660147,-73.947651,11203,810,3106949,Prospect Lefferts Gardens-Wingate,"(40.660147, -73.947651)"
4407 BROADWAY,MANHATTAN,12 MANHATTAN,Precinct 34,10,1021800320,1/25/2018,Open,Site downloaded for cleaning,,1002674,250823,40.855107,-73.9334,10040,279,1064445,Washington Heights North,"(40.855107, -73.9334)"
1143 LIBERTY AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,37,3041810058,1/24/2018,Open,Site downloaded for cleaning,,1021065,186566,40.678681,-73.867271,11208,1188,3093999,Cypress Hills-City Line,"(40.678681, -73.867271)"
27 CHURCH AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,39,3053130042,1/24/2018,Open,Site to be cleaned.,,989184,173044,40.641641,-73.982221,11218,496,3123931,Kensington-Ocean Parkway,"(40.641641, -73.982221)"
1124 LIBERTY AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,37,3042020013,1/24/2018,Open,Site downloaded for cleaning,,1020930,186534,40.678594,-73.867758,11208,1188,3094392,Cypress Hills-City Line,"(40.678594, -73.867758)"
188-33 LINDEN BOULEVARD,QUEENS,12 QUEENS,Precinct 113,27,4103810064,1/23/2018,Open,Site downloaded for cleaning,,1049876,191396,40.691772,-73.763352,11412,398,4593252,St. Albans,"(40.691772, -73.763352)"
220-01 JAMAICA AVENUE,QUEENS,13 QUEENS,Precinct 105,23,4107250096,1/19/2018,Open,Site downloaded for cleaning,,1057928,201352,40.719035,-73.734208,11428,564,4229859,Queens Village,"(40.719035, -73.734208)"
87-71 98 STREET,QUEENS,09 QUEENS,Precinct 102,32,4092860096,1/18/2018,Open,Site downloaded for cleaning,,1026537,192279,40.694337,-73.847507,11421,28,4194146,Richmond Hill,"(40.694337, -73.847507)"
1390 NOSTRAND AVENUE,BROOKLYN,17 BROOKLYN,Precinct 67,40,3050850068,1/17/2018,Open,Site downloaded for cleaning,,998178,177138,40.652869,-73.949805,11226,820,3116689,Prospect Lefferts Gardens-Wingate,"(40.652869, -73.949805)"
55-13 METROPOLITAN AVENUE,QUEENS,05 QUEENS,Precinct 104,30,4026400005,1/16/2018,Open,Site downloaded for cleaning,,1009645,199071,40.713044,-73.908396,11385,595,4059330,Ridgewood,"(40.713044, -73.908396)"
2407 WESTCHESTER AVENUE,BRONX,10 BRONX,Precinct 45,18,2039730044,1/16/2018,Open,Site downloaded for cleaning,,1026838,244362,40.83729,-73.846091,10461,202,2041711,Westchester-Unionport,"(40.83729, -73.846091)"
548 RICHMOND ROAD,STATEN ISLAND,01 STATEN ISLAND,Precinct 120,49,,1/12/2018,Open,Property Research Required,,960028,162711,40.613248,-74.087242,10304,40,,Grymes Hill-Clifton-Fox Hills,"(40.613248, -74.087242)"
1861 86 STREET,BROOKLYN,11 BROOKLYN,Precinct 62,47,3063440053,1/12/2018,Open,Site downloaded for cleaning,,983962,160166,40.606295,-74.001037,11214,278,3165781,Bensonhurst West,"(40.606295, -74.001037)"
2254 65 STREET,BROOKLYN,11 BROOKLYN,Precinct 62,44,3065790005,1/12/2018,Open,Site downloaded for cleaning,,989724,162660,40.613139,-73.980284,11204,432,3173365,Bensonhurst East,"(40.613139, -73.980284)"
2174 86 STREET,BROOKLYN,11 BROOKLYN,Precinct 62,47,3063800043,1/12/2018,Open,Site downloaded for cleaning,,985834,158687,40.602236,-73.994296,11214,290,3167066,Bensonhurst West,"(40.602236, -73.994296)"
108 9 AVENUE,MANHATTAN,04 MANHATTAN,Precinct 10,3,1007410001,1/11/2018,Open,Site downloaded for cleaning,,983169,209950,40.742941,-74.003901,10011,83,1013067,Hudson Yards-Chelsea-Flatiron-Union Square,"(40.742941, -74.003901)"
515 CONEY ISLAND AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,40,3051130031,1/9/2018,Open,Site downloaded for cleaning,,992448,174288,40.645053,-73.970459,11218,1522,3117436,Flatbush,"(40.645053, -73.970459)"
123 EAST BROADWAY,MANHATTAN,03 MANHATTAN,Precinct 7,1,1002830043,1/9/2018,Open,Site downloaded for cleaning,,986412,199359,40.713871,-73.992201,10002,6,1003579,Lower East Side,"(40.713871, -73.992201)"
1248 CASTLE HILL AVENUE,BRONX,09 BRONX,Precinct 43,18,2038220010,3/12/2018,Open,Site to be cleaned.,,1025387,242892,40.833262,-73.851344,10462,92,2026873,Westchester-Unionport,"(40.833262, -73.851344)"
132 VERMILYEA AVENUE,MANHATTAN,12 MANHATTAN,Precinct 34,10,1022350028,3/12/2018,Open,Site to be cleaned.,,1006089,255017,40.866611,-73.921041,10034,293,1082053,Marble Hill-Inwood,"(40.866611, -73.921041)"
50-43 63 STREET,QUEENS,02 QUEENS,Precinct 108,30,4023390006,3/6/2018,Open,Site to be cleaned.,,1011190,207600,40.73645,-73.902789,11377,243,4054054,Elmhurst-Maspeth,"(40.73645, -73.902789)"
